"customer_city","payment_type","order_status","average_order_value"
araci,boleto,delivered,45.49
itu,voucher,canceled,45.53
pedro canario,boleto,delivered,45.53
ocara,boleto,delivered,45.53
adamantina,credit_card,shipped,45.59
pium,credit_card,delivered,45.63
vargem grande do sul,boleto,delivered,45.67
apiuna,boleto,delivered,45.68
sonora,credit_card,delivered,45.69
timon,boleto,delivered,45.70
rio grande do piaui,boleto,delivered,45.70
colombo,voucher,delivered,45.75
corumbatai do sul,boleto,delivered,45.78
nova petropolis,boleto,delivered,45.79
itubera,boleto,delivered,45.79
barra do mendes,boleto,delivered,45.79
brodowski,boleto,delivered,45.81
suzano,credit_card,unavailable,45.96
soledade de minas,debit_card,delivered,46.01
sao jose do norte,boleto,delivered,46.01
piumhii,voucher,delivered,46.01
santo antonio da alegria,boleto,delivered,46.01
posse,boleto,shipped,46.01
guarani das missoes,credit_card,delivered,46.04
jaguariaiva,boleto,processing,46.09
mateus leme,voucher,delivered,46.09
amambai,boleto,delivered,46.20
boa vista do sul,credit_card,delivered,46.22
itaguacu,boleto,delivered,46.25
pirai do norte,credit_card,delivered,46.28
vacaria,debit_card,delivered,46.29
novo planalto,credit_card,delivered,46.29
areia branca dos assis,debit_card,delivered,46.31
parisi,boleto,delivered,46.34
concordia,boleto,processing,46.35
mombuca,credit_card,delivered,46.39
porto ferreira,voucher,delivered,46.48
clevelandia,credit_card,delivered,46.50
garanhuns,debit_card,delivered,46.53
caravelas,boleto,delivered,46.55
cataguases,voucher,delivered,46.58
osasco,credit_card,canceled,46.59
ipiau,boleto,delivered,46.60
sao marcos,voucher,delivered,46.60
porto amazonas,credit_card,delivered,46.61
ananindeua,debit_card,shipped,46.63
planalto,voucher,delivered,46.69
alto boa vista,voucher,delivered,46.69
guanambi,voucher,delivered,46.69
confresa,voucher,delivered,46.69
cacapava,boleto,shipped,46.71
barao de juparana,credit_card,delivered,46.72
guara,boleto,delivered,46.75
vila bela da santissima trindade,credit_card,delivered,46.78
ituverava,boleto,shipped,46.84
nhandeara,credit_card,canceled,46.85
iconha,boleto,delivered,46.85
bueno brandao,credit_card,delivered,46.88
liberdade,credit_card,delivered,46.90
palmeirinha,credit_card,delivered,46.90
juscimeira,credit_card,delivered,46.96
erval grande,boleto,delivered,47.00
arraial do cabo,voucher,delivered,47.00
paripiranga,boleto,delivered,47.00
colatina,credit_card,processing,47.05
cachoeira dourada,boleto,delivered,47.09
americano do brasil,voucher,delivered,47.10
guinda,credit_card,delivered,47.11
seara,boleto,delivered,47.17
garca,voucher,delivered,47.19
rosario do ivai,voucher,delivered,47.23
paraiso do sul,boleto,delivered,47.29
jandaia do sul,boleto,delivered,47.42
sao jose dos campos,boleto,processing,47.43
pedro canario,voucher,delivered,47.45
macae,credit_card,canceled,47.48
capanema,credit_card,shipped,47.53
pongai,boleto,delivered,47.61
itu,credit_card,canceled,47.68
sao jeronimo,boleto,delivered,47.75
engenheiro coelho,credit_card,invoiced,47.77
ichu,boleto,delivered,47.78
mari,boleto,delivered,47.80
dona emma,credit_card,delivered,47.81
canoas,boleto,shipped,47.81
jacigua,boleto,delivered,47.89
frutal,credit_card,shipped,47.96
victor graeff,boleto,delivered,48.00
porto xavier,boleto,delivered,48.01
cesario lange,boleto,delivered,48.04
lagoa nova,voucher,delivered,48.05
senhor do bonfim,voucher,delivered,48.11
bemposta,credit_card,delivered,48.11
maracanau,boleto,shipped,48.13
lucianopolis,credit_card,delivered,48.13
condor,boleto,delivered,48.13
ipiranga,boleto,delivered,48.21
antonio carlos,credit_card,delivered,48.21
sao joao das missoes,boleto,delivered,48.22
guia lopes da laguna,credit_card,delivered,48.22
buriti alegre,credit_card,delivered,48.22
borda da mata,voucher,delivered,48.22
santana da boa vista,voucher,delivered,48.30
nossa senhora das gracas,credit_card,delivered,48.37
herculandia,boleto,delivered,48.40
brasilia,boleto,processing,48.50
rio de janeiro,voucher,processing,48.60
novo oriente,boleto,delivered,48.62
salto,credit_card,canceled,48.68
sao roque do canaa,boleto,delivered,48.69
eneas marques,voucher,delivered,48.69
tabatinga,boleto,delivered,48.69
itapema,debit_card,delivered,48.69
peritiba,boleto,delivered,48.69
floresta,debit_card,delivered,48.69
cabaceiras do paraguacu,boleto,delivered,48.69
renascenca,boleto,delivered,48.69
cambui,boleto,delivered,48.70
crato,credit_card,shipped,48.70
gabriel monteiro,credit_card,delivered,48.72
jardim de piranhas,credit_card,delivered,48.74
currais novos,credit_card,shipped,48.75
sao jose do cedro,voucher,delivered,48.81
